,ticker,security,outlook,rating,use,trust,upward_trend,outlook_date,revenue,rev_change_percent,profit ,profit_change_percent,assets,market_value,sector_y,industry_y,webscrape_date,net_income,ft_employee,div_yield,three_year,five_year,ten_year,alcohol,adult,gambling,tobacco,controversial_weapons,small_arms,military_contracting,coal,net_per_emp
89,AN,AutoNation,39.0,,,,,8/4/18,21412800000.0,-0.006,396000000.0,-0.089,10665100000.0,3216900000,Consumer Cyclical,Auto & Truck Dealerships,9/12/20,,25000.0,0.0,6.39,-1.33,8.93,,,,,,,,,
90,ANDV,Andeavor,70.0,,,,,8/4/18,,,,,,,Energy,Oil & Gas Refining & Marketing,9/12/20,,,,,,,,,,,,,,,
91,ANF,Abercrombie & Fitch,32.0,,,,,8/4/18,,,,,,,Consumer Cyclical,Apparel Retail,9/12/20,,8000.0,0.0,6.03,-1.74,-4.66,,,,,,,,,
92,ANGI,ANGI Homeservices Inc,,,,,,8/4/18,,,,,,,Communication Services,Internet Content & Information,9/12/20,,5000.0,0.0,-0.53,18.91,,,,,,,,,,
93,ANTM,Anthem,54.0,3.4,,,maybe,9/8/19,,,,,,,Healthcare,Healthcare Plans,9/12/20,,70600.0,1.46,10.97,13.17,17.72,,,,,,,,,
94,ANTO.L,Antofagasta Plc,,,,,,,,,,,,,Basic Materials,Copper,9/12/20,,6532.0,0.96,,,,,,,,,,,,
95,AON,Aon plc,51.0,,,,,8/4/18,,,,,,,Financial Services,Insurance Brokers,9/12/20,,50000.0,0.87,13.12,18.03,18.88,,,,,,,,,
96,APA,Apache,42.0,,,,,8/4/18,7424000000.0,0.156,40000000.0,-0.969,21582000000.0,13011600000,Energy,Oil & Gas E&P,9/12/20,,3163.0,0.83,-28.66,-16.38,-14.18,,,,,,,,,
97,APC,Anadarko Petroleum,46.0,,,,,8/4/18,13382000000.0,0.124,615000000.0,-,40376000000.0,22828200000,Energy,Oil & Gas E&P,9/12/20,,4700.0,,,,,,,,,,,,,
98,APD,Air Products & Chemicals,46.0,,,,,8/4/18,8930200000.0,0.058,1497800000.0,-0.501,19178300000.0,41940800000,Basic Materials,Chemicals,9/12/20,,17440.0,1.82,28.15,19.37,16.01,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,
99,APH,Amphenol,47.0,,,,,8/4/18,8202000000.0,0.17,1205000000.0,0.852,10044900000.0,28151400000,Technology,Electronic Components,9/12/20,,74000.0,0.96,9.31,15.95,16.91,,,,,,,,,
100,APRN,Blue Apron,,,,,,,,,,,,,Consumer Cyclical,Internet Retail,9/12/20,,1783.0,0.0,-55.32,,,,,,,,,,,
101,AR,Antero Resources Corporation,,,,,,,,,,,,,Energy,Oil & Gas E&P,9/12/20,,524.0,0.0,-48.29,-35.67,,,,,,,,,,
102,ARAY,Accuray Incorporated,,,,,,,,,,,,,Healthcare,Medical Devices,9/12/20,,932.0,0.0,-18.34,-18.97,-9.36,,,,,,,,,
103,ARLP,Alliance Resource Partners L.P.,43.0,,,,,8/4/18,,,,,,,Energy,Thermal Coal,9/12/20,,3602.0,0.0,-23.07,-12.96,-1.99,,,,,,,,,
